Ladetype;Anzahl_Ladesaeulen_rel;Ladequote
HPC;0.71;0.9499950653836663
HPC;0.72;0.9633752775721687
HPC;0.73;0.9406672947087455
HPC;0.74;0.9535531480609202
HPC;0.75;0.9664390014130948
HPC;0.76;0.9433656228880379
HPC;0.77;0.9557783284523542
HPC;0.78;0.9681910340166705
HPC;0.79;0.9806037395809868
HPC;0.8;0.954979850316638
HPC;0.81;0.9669170984455959
HPC;0.82;0.9788543465745537
HPC;0.83;0.9544856649395509
HPC;0.84;0.9659854922279792
HPC;0.85;0.9774853195164075
HPC;0.86;0.9889851468048358
HPC;0.87;0.965356715823037
HPC;0.88;0.9764527700278994
HPC;0.89;0.9875488242327619
HPC;0.9;0.9633275762809442
HPC;0.91;0.9740312160173993
HPC;0.92;0.9847348557538541
HPC;0.93;0.995438495490309
HPC;0.94;0.9718899580557611
HPC;0.95;0.9822292129286948
HPC;0.96;0.9925684678016284
HPC;0.97;0.97
HPC;0.98;0.98
HPC;0.99;0.99
HPC;1.0;1.0
MCS;0.01;0.02968984962406015
MCS;0.02;0.0593796992481203
MCS;0.03;0.08906954887218045
MCS;0.04;0.11063909774436087
MCS;0.05;0.1382988721804511
MCS;0.06;0.1659586466165413
MCS;0.07;0.19361842105263155
MCS;0.08;0.20909774436090223
MCS;0.09;0.235234962406015
MCS;0.1;0.2613721804511278
MCS;0.11;0.2875093984962406
MCS;0.12;0.298421052631579
MCS;0.13;0.3232894736842105
MCS;0.14;0.34815789473684217
MCS;0.15;0.358562030075188
MCS;0.16;0.3824661654135339
MCS;0.17;0.40637030075187974
MCS;0.18;0.43027443609022553
MCS;0.19;0.43633928571428576
MCS;0.2;0.45930451127819555
MCS;0.21;0.4822697368421053
MCS;0.22;0.5052349624060151
MCS;0.23;0.5086063372717509
MCS;0.24;0.5307196562835661
MCS;0.25;0.5528329752953813
MCS;0.26;0.5517363721804512
MCS;0.27;0.5729570018796993
MCS;0.28;0.5941776315789475
MCS;0.29;0.6153982612781955
MCS;0.3;0.6098684210526316
MCS;0.31;0.6301973684210527
MCS;0.32;0.6505263157894738
MCS;0.33;0.6708552631578949
MCS;0.34;0.6652048872180453
MCS;0.35;0.6847697368421052
MCS;0.36;0.7043345864661654
MCS;0.37;0.7238994360902256
MCS;0.38;0.7153246753246753
MCS;0.39;0.734149008885851
MCS;0.4;0.7529733424470267
MCS;0.41;0.7421616541353383
MCS;0.42;0.7602631578947369
MCS;0.43;0.7783646616541354
MCS;0.44;0.7964661654135339
MCS;0.45;0.7835309427414692
