Zeit;Zeit_Time;Leistung_Total;Leistung_Max_Total;Leistung_NCS;Leistung_HPC;Leistung_MCS;Ladestrategie;Netzanschluss;Ladequote
400;2024-01-01 06:40:00;600,0;1350;600,0;0,0;0,0;p_max;51350,0;0,998320738874895
405;2024-01-01 06:45:00;600,0;1350;600,0;0,0;0,0;p_max;51350,0;0,998320738874895
410;2024-01-01 06:50:00;600,0;1000;600,0;0,0;0,0;p_max;51350,0;0,998320738874895
415;2024-01-01 06:55:00;600,0;1000;600,0;0,0;0,0;p_max;51350,0;0,998320738874895
420;2024-01-01 07:00:00;600,0;1000;600,0;0,0;0,0;p_max;51350,0;0,998320738874895
425;2024-01-01 07:05:00;600,0;1000;600,0;0,0;0,0;p_max;51350,0;0,998320738874895
430;2024-01-01 07:10:00;565,4610569053569;1000;565,4610569053569;0,0;0,0;p_max;51350,0;0,998320738874895
435;2024-01-01 07:15:00;500,0;1000;500,0;0,0;0,0;p_max;51350,0;0,998320738874895
440;2024-01-01 07:20:00;500,0;1000;500,0;0,0;0,0;p_max;51350,0;0,998320738874895
445;2024-01-01 07:25:00;500,0;1000;500,0;0,0;0,0;p_max;51350,0;0,998320738874895
450;2024-01-01 07:30:00;500,0;1000;500,0;0,0;0,0;p_max;51350,0;0,998320738874895
455;2024-01-01 07:35:00;500,0;1000;500,0;0,0;0,0;p_max;51350,0;0,998320738874895
460;2024-01-01 07:40:00;427,6356591277835;1000;427,6356591277835;0,0;0,0;p_max;51350,0;0,998320738874895
465;2024-01-01 07:45:00;400,0;1000;400,0;0,0;0,0;p_max;51350,0;0,998320738874895
470;2024-01-01 07:50:00;400,0;1000;400,0;0,0;0,0;p_max;51350,0;0,998320738874895
475;2024-01-01 07:55:00;750,0;1350;400,0;350,0;0,0;p_max;51350,0;0,998320738874895
480;2024-01-01 08:00:00;698,693878261496;1350;348,693878261496;350,0;0,0;p_max;51350,0;0,998320738874895
485;2024-01-01 08:05:00;650,0;1350;300,0;350,0;0,0;p_max;51350,0;0,998320738874895
490;2024-01-01 08:10:00;1522,1060790000001;2350;300,0;350,0;872,106079;p_max;51350,0;0,998320738874895
495;2024-01-01 08:15:00;1805,719321;2700;300,0;700,0;805,719321;p_max;51350,0;0,998320738874895
500;2024-01-01 08:20:00;1630,5865009999998;2700;300,0;700,0;630,5865009999999;p_max;51350,0;0,998320738874895
505;2024-01-01 08:25:00;1847,954317366433;3050;266,49431136643295;1050,0;531,460006;p_max;51350,0;0,998320738874895
510;2024-01-01 08:30:00;1544,5922124840065;3400;200,0;1078,0871464840066;266,505066;p_max;51350,0;0,998320738874895
515;2024-01-01 08:35:00;1516,505066;3400;200,0;1050,0;266,505066;p_max;51350,0;0,998320738874895
520;2024-01-01 08:40:00;1112,6324583023104;3050;200,0;888,5967526191278;24,03570568318265;p_max;51350,0;0,998320738874895
525;2024-01-01 08:45:00;918,8037077346671;3400;200,0;718,8037077346671;0,0;p_max;51350,0;0,998320738874895
530;2024-01-01 08:50:00;653,3141064885423;3400;200,0;453,3141064885423;0,0;p_max;51350,0;0,998320738874895
535;2024-01-01 08:55:00;550,0;2400;200,0;350,0;0,0;p_max;51350,0;0,998320738874895
540;2024-01-01 09:00:00;550,0;2050;200,0;350,0;0,0;p_max;51350,0;0,998320738874895
545;2024-01-01 09:05:00;550,0;1950;200,0;350,0;0,0;p_max;51350,0;0,998320738874895
550;2024-01-01 09:10:00;709,4150505799557;1950;200,0;509,4150505799557;0,0;p_max;51350,0;0,998320738874895
555;2024-01-01 09:15:00;900,0;1750;200,0;700,0;0,0;p_max;51350,0;0,998320738874895
