Ladetype;Anzahl_Ladesaeulen;Ladequote;Anzahl_Ladesaeulen_rel
NCS;47;0.4573748308525033;0.33098591549295775
NCS;48;0.4641407307171853;0.3380281690140845
NCS;49;0.4709066305818674;0.34507042253521125
NCS;50;0.4776725304465494;0.352112676056338
NCS;51;0.4844384303112314;0.3591549295774648
NCS;52;0.4912043301759134;0.36619718309859156
NCS;53;0.4979702300405954;0.3732394366197183
NCS;54;0.5047361299052774;0.38028169014084506
NCS;55;0.5115020297699594;0.3873239436619718
NCS;56;0.5182679296346414;0.39436619718309857
NCS;57;0.5250338294993234;0.4014084507042254
NCS;58;0.5317997293640054;0.4084507042253521
NCS;59;0.5385656292286874;0.4154929577464789
NCS;60;0.5453315290933695;0.4225352112676056
NCS;61;0.5520974289580515;0.4295774647887324
NCS;62;0.5588633288227334;0.43661971830985913
NCS;63;0.5656292286874154;0.44366197183098594
NCS;64;0.5723951285520974;0.4507042253521127
NCS;65;0.5791610284167794;0.45774647887323944
NCS;66;0.5859269282814614;0.4647887323943662
NCS;67;0.5926928281461434;0.47183098591549294
NCS;68;0.5994587280108254;0.4788732394366197
NCS;69;0.6062246278755075;0.4859154929577465
NCS;70;0.6129905277401895;0.49295774647887325
NCS;71;0.6197564276048715;0.5
NCS;72;0.6265223274695535;0.5070422535211268
NCS;73;0.6332882273342354;0.5140845070422535
NCS;74;0.6400541271989174;0.5211267605633803
NCS;75;0.6468200270635994;0.528169014084507
NCS;76;0.6535859269282814;0.5352112676056338
NCS;77;0.6603518267929634;0.5422535211267606
NCS;78;0.6671177266576455;0.5492957746478874
NCS;79;0.6738836265223275;0.5563380281690141
NCS;80;0.6806495263870095;0.5633802816901409
NCS;81;0.6874154262516915;0.5704225352112676
NCS;82;0.6941813261163735;0.5774647887323944
NCS;83;0.7009472259810555;0.5845070422535211
NCS;84;0.7077131258457375;0.5915492957746479
NCS;85;0.7144790257104194;0.5985915492957746
NCS;86;0.7212449255751014;0.6056338028169014
NCS;87;0.7280108254397835;0.6126760563380281
NCS;88;0.7347767253044655;0.6197183098591549
NCS;89;0.7415426251691475;0.6267605633802817
NCS;90;0.7483085250338295;0.6338028169014085
NCS;91;0.7550744248985115;0.6408450704225352
NCS;92;0.7618403247631935;0.647887323943662
NCS;93;0.7686062246278755;0.6549295774647887
NCS;94;0.7753721244925575;0.6619718309859155
NCS;95;0.7821380243572396;0.6690140845070423
NCS;96;0.7889039242219216;0.676056338028169
NCS;97;0.7956698240866035;0.6830985915492958
NCS;98;0.8024357239512855;0.6901408450704225
NCS;99;0.8092016238159675;0.6971830985915493
NCS;100;0.8159675236806495;0.704225352112676
NCS;101;0.8227334235453315;0.7112676056338029
NCS;102;0.8294993234100135;0.7183098591549296
NCS;103;0.8362652232746955;0.7253521126760564
NCS;104;0.8430311231393776;0.7323943661971831
NCS;105;0.8497970230040596;0.7394366197183099
NCS;106;0.8565629228687416;0.7464788732394366
NCS;107;0.8633288227334236;0.7535211267605634
NCS;108;0.8700947225981055;0.7605633802816901
NCS;109;0.8768606224627875;0.7676056338028169
NCS;110;0.8836265223274695;0.7746478873239436
NCS;111;0.8903924221921515;0.7816901408450704
NCS;112;0.8958051420838972;0.7887323943661971
NCS;113;0.9012178619756428;0.795774647887324
NCS;114;0.9066305818673884;0.8028169014084507
NCS;115;0.912043301759134;0.8098591549295775
NCS;116;0.9174560216508796;0.8169014084507042
NCS;117;0.9215155615696888;0.823943661971831
NCS;118;0.925575101488498;0.8309859154929577
NCS;119;0.9296346414073072;0.8380281690140845
NCS;120;0.9336941813261164;0.8450704225352113
NCS;121;0.9377537212449256;0.852112676056338
NCS;122;0.9418132611637348;0.8591549295774648
NCS;123;0.945872801082544;0.8661971830985915
NCS;124;0.9499323410013532;0.8732394366197183
NCS;125;0.9539918809201624;0.8802816901408451
NCS;126;0.9580514208389715;0.8873239436619719
NCS;127;0.9621109607577808;0.8943661971830986
NCS;128;0.96617050067659;0.9014084507042254
NCS;129;0.9702300405953992;0.9084507042253521
NCS;130;0.972936400541272;0.9154929577464789
NCS;131;0.9756427604871448;0.9225352112676056
NCS;132;0.9783491204330176;0.9295774647887324
